open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
185.6,185.96,181.7401,183.77,29916675.0,185.96,181.7401,183.77,185.6,29916675.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-02-18T00:00:00+0000
184.07,185.46,183.59,185.27,19549396.0,185.46,183.59,185.27,184.07,19549396.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-02-19T00:00:00+0000
184.8,185.31,182.72,184.56,20441462.0,185.31,182.72,184.56,184.8,20441462.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-02-20T00:00:00+0000
185.15,185.34,179.08,179.66,35199239.0,185.34,179.08,179.66,185.15,35199239.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-02-21T00:00:00+0000
181.99,183.12,178.885,179.25,29854206.0,183.12,178.885,179.25,181.99,29854206.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-02-24T00:00:00+0000
178.04,178.74,174.6939,175.42,41913411.0,178.74,174.6939,175.42,178.04,41913411.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-02-25T00:00:00+0000
175.07,176.08,171.5807,172.73,35431268.0,176.08,171.5807,172.73,175.07,35431268.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-02-26T00:00:00+0000
173.99,174.56,167.94,168.5,39991015.0,174.56,167.94,168.5,173.99,39991015.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-02-27T00:00:00+0000
168.68,170.61,166.77,170.28,48130565.0,170.61,166.77,170.28,168.68,48130565.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-02-28T00:00:00+0000
171.925,173.37,165.93,167.01,40770451.0,173.37,165.93,167.01,171.925,40770451.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-03T00:00:00+0000
166.24,173.2946,165.8,170.92,45387996.0,173.2946,165.8,170.92,166.24,45387996.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-04T00:00:00+0000
170.52,173.78,169.06,173.02,30954922.0,173.78,169.06,173.02,170.52,30954922.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-05T00:00:00+0000
170.53,174.81,170.5,172.35,28301953.0,174.81,170.5,172.35,170.53,28301953.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-06T00:00:00+0000
171.26,174.97,170.27,173.86,27385813.0,174.97,170.27,173.66,171.26,27385813.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-07T00:00:00+0000
168.26,168.46,163.69,165.87,43604031.0,168.46,163.69,165.87,168.26,43377356.0,1.0,0.2,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-10T00:00:00+0000
164.91,166.75,161.37,164.04,39587406.0,166.75,161.37,164.04,164.91,39587414.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-11T00:00:00+0000
166.58,167.6399,163.53,167.11,28372396.0,167.6399,163.53,167.11,166.58,28372396.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-12T00:00:00+0000
166.035,166.13,162.11,162.76,31756211.0,166.13,162.11,162.76,166.035,31756214.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-13T00:00:00+0000
163.27,166.49,162.45,165.49,31995894.0,166.49,162.45,165.49,163.27,31995894.0,1.0,0.0,Alphabet Inc - Class A,NASDAQ,Stock,usd,GOOGL,XNAS,2025-03-14T00:00:00+0000
