open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
243.91,245.18,241.84,244.47,48158313.0,245.18,241.84,244.47,244.15,48822491.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-02-18T00:00:00+0000
244.66,246.01,243.16,244.87,32184200.0,246.01,243.1604,244.87,244.66,32204215.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-02-19T00:00:00+0000
244.97,246.78,244.29,245.83,31125149.0,246.78,244.29,245.83,244.94,32316907.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-02-20T00:00:00+0000
245.95,248.69,245.22,245.55,53119400.0,248.69,245.22,245.55,245.95,53197431.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-02-21T00:00:00+0000
244.808,248.86,244.59,247.1,51143732.0,248.86,244.42,247.1,244.925,51326396.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-02-24T00:00:00+0000
248.0,249.98,244.91,247.04,46872348.0,250.0,244.91,247.04,248.0,48013272.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-02-25T00:00:00+0000
244.33,244.98,239.13,240.36,43602013.0,244.98,239.13,240.36,244.33,44433564.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-02-26T00:00:00+0000
239.41,242.46,237.1,237.3,40535155.0,242.46,237.06,237.3,239.41,41153639.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-02-27T00:00:00+0000
236.95,242.09,230.2,241.84,56796200.0,242.09,230.2,241.84,236.95,56833360.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-02-28T00:00:00+0000
241.722,244.0272,236.112,238.03,46788610.0,244.0272,236.112,238.03,241.79,47183985.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-03T00:00:00+0000
237.705,240.07,234.7,235.93,53101971.0,240.07,234.68,235.93,237.705,53798062.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-04T00:00:00+0000
235.42,236.55,229.23,235.74,47200800.0,236.55,229.23,235.74,235.42,47227643.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-05T00:00:00+0000
234.435,237.86,233.1581,235.33,44375329.0,237.86,233.1581,235.33,234.435,45170419.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-06T00:00:00+0000
235.11,241.37,234.76,239.07,46245700.0,241.37,234.76,239.07,235.105,46273565.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-07T00:00:00+0000
235.48,236.16,224.22,227.48,71374783.0,236.16,224.22,227.48,235.54,71451281.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-10T00:00:00+0000
223.8,225.8399,217.45,220.84,73947348.0,225.8399,217.45,220.84,223.805,76137410.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-11T00:00:00+0000
220.14,221.75,214.91,216.98,62466400.0,221.75,214.91,216.98,220.14,62547467.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-12T00:00:00+0000
215.94,216.8394,208.42,209.68,60306872.0,216.8394,208.42,209.68,215.95,61368330.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-13T00:00:00+0000
211.25,213.95,209.58,213.49,60060200.0,213.95,209.58,213.49,211.25,60107582.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-14T00:00:00+0000
213.36,215.22,209.98,214.0,47841607.0,215.22,209.97,214.0,213.31,48073426.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-17T00:00:00+0000
214.14,215.15,211.49,212.69,41207689.0,215.15,211.49,212.69,214.16,42432426.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-18T00:00:00+0000
214.22,218.76,213.75,215.24,54237276.0,218.76,213.75,215.24,214.22,54385391.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-19T00:00:00+0000
213.99,217.4899,212.22,214.1,48775040.0,217.4899,212.22,214.1,213.99,48862947.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-20T00:00:00+0000
211.56,218.84,211.28,218.27,93954500.0,218.84,211.28,218.27,211.56,94127768.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-21T00:00:00+0000
221.0,221.021,218.58,220.73,42364298.0,221.48,218.58,220.73,221.0,44299483.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-24T00:00:00+0000
220.81,224.1,220.08,223.75,34299912.0,224.1,220.08,223.75,220.77,34493583.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-25T00:00:00+0000
223.51,225.02,220.47,221.53,34436815.0,225.02,220.47,221.53,223.51,34532656.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-26T00:00:00+0000
221.33,224.99,220.5601,223.85,36700954.0,224.99,220.5601,223.85,221.39,37094774.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-27T00:00:00+0000
221.67,223.81,217.68,217.9,39784100.0,223.81,217.68,217.9,221.67,39818617.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-28T00:00:00+0000
217.22,224.97,216.24,222.13,65078252.0,225.62,216.23,222.13,217.005,65299321.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-03-31T00:00:00+0000
219.805,223.49,218.9,223.19,36361327.0,223.68,218.9,223.19,219.805,36412740.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-01T00:00:00+0000
221.19,225.19,221.05,223.89,31731885.0,225.19,221.02,223.89,221.315,35905904.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-02T00:00:00+0000
205.52,207.4899,201.25,203.19,102947073.0,207.49,201.25,203.19,205.54,103419006.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-03T00:00:00+0000
193.89,199.88,187.34,188.38,125569000.0,199.88,187.34,188.38,193.89,125910913.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-04T00:00:00+0000
177.24,194.14,174.62,181.46,157350538.0,194.15,174.62,181.46,177.2,160466286.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-07T00:00:00+0000
186.73,190.335,169.2101,172.42,119908881.0,190.335,169.2101,172.42,186.7,120859491.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-08T00:00:00+0000
172.179,200.61,171.89,198.85,182793290.0,200.61,171.89,198.85,171.95,184395885.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-09T00:00:00+0000
189.165,194.7799,183.0,190.42,117183840.0,194.7799,183.0,190.42,189.065,121879981.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-10T00:00:00+0000
186.1,199.54,186.06,198.15,87300000.0,199.54,186.06,198.15,186.1,87435915.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-11T00:00:00+0000
211.44,212.94,201.1621,202.52,100650083.0,212.94,201.1621,202.52,211.44,101352911.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-14T00:00:00+0000
201.855,203.505,199.82,202.14,50304417.0,203.51,199.8,202.14,201.855,51343872.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-15T00:00:00+0000
198.36,200.7,192.37,194.27,58802034.0,200.7,192.37,194.27,198.36,59732423.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-16T00:00:00+0000
197.2,198.8335,194.42,196.98,52164675.0,198.8335,194.42,196.98,197.2,52164675.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-17T00:00:00+0000
193.265,193.8,189.8112,193.16,46628147.0,193.8,189.8112,193.16,193.265,46742537.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-04-21T00:00:00+0000
