open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
276.76,279.97,276.02,279.95,7919798.0,279.97,276.02,279.95,276.76,7919798.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-02-18T00:00:00+0000
278.38,280.25,277.22,279.25,7007248.0,280.25,277.22,279.25,278.38,7007248.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-02-19T00:00:00+0000
278.675,278.74,265.735,266.8,13846671.0,278.74,265.735,266.8,278.675,13846671.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-02-20T00:00:00+0000
268.32,269.1955,262.84,264.24,12835566.0,269.1955,262.84,264.24,268.32,12835566.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-02-21T00:00:00+0000
265.49,267.0,258.61,261.34,10372751.0,267.0,258.61,261.34,265.49,10372751.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-02-24T00:00:00+0000
262.23,263.0,253.35,257.4,9608439.0,263.0,253.35,257.4,262.23,9608439.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-02-25T00:00:00+0000
257.16,260.9115,256.93,258.79,5943585.0,260.9115,256.93,258.79,257.16,5943585.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-02-26T00:00:00+0000
260.18,263.64,257.86,259.05,8204447.0,263.64,257.86,259.05,260.18,8204447.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-02-27T00:00:00+0000
260.73,264.81,257.89,264.65,10467126.0,264.81,257.89,264.65,260.73,10467126.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-02-28T00:00:00+0000
264.0,266.32,257.82,260.62,9058307.0,266.32,257.82,260.62,264.0,9058307.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-03T00:00:00+0000
255.28,257.23,245.95,250.25,13465630.0,257.23,245.95,250.25,255.28,13465630.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-04T00:00:00+0000
251.25,253.05,247.83,251.53,7861424.0,253.05,247.83,251.53,251.25,7861424.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-05T00:00:00+0000
248.11,249.36,243.85,246.54,9983235.0,249.36,243.85,246.54,248.11,9983235.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-06T00:00:00+0000
245.23,246.72,239.42,242.28,20498734.0,246.72,239.42,242.28,245.23,20498734.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-07T00:00:00+0000
236.21,237.51,228.695,232.22,18887186.0,237.51,228.7,232.22,236.21,18730564.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-10T00:00:00+0000
231.745,233.32,226.69,229.14,18142995.0,233.32,226.69,229.14,231.745,18142995.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-11T00:00:00+0000
234.0,234.32,227.26,227.9,16054015.0,234.32,227.26,227.9,234.0,16054015.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-12T00:00:00+0000
229.3,229.5,224.23,225.19,16467851.0,229.5,224.23,225.19,229.3,16467851.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-13T00:00:00+0000
228.12,233.143,227.58,232.44,11962108.0,233.143,227.58,232.44,228.12,11962108.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,usd,JPM,XNYS,2025-03-14T00:00:00+0000
231.18,235.6695,230.455,233.93,9586025.0,235.6695,230.455,233.93,231.18,9586025.0,1.0,0.0,JPMorgan Chase & Company,NYSE,Stock,USD,JPM,XNYS,2025-03-17T00:00:00+0000
