open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
736.0,737.0,706.44,716.37,21938700.0,735.8135471482,705.3027438906,716.37,734.8151569893,21938703.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-02-18T00:00:00+0000
704.1,707.0,695.39,703.77,17501600.0,705.8618423797,694.2705326342,703.77,702.9615189679,17535480.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-02-19T00:00:00+0000
697.28,705.63,693.64,694.84,12587400.0,704.4940478619,692.523349856,694.84,696.1524980838,12587408.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-02-20T00:00:00+0000
696.58,703.87,682.36,683.55,15612000.0,702.7368811821,681.2615088631,683.55,695.4586169234,15660355.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-02-21T00:00:00+0000
686.28,687.27,662.45,668.13,15677000.0,686.1636045435,661.3835607983,668.13,685.1751982861,15676994.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-02-24T00:00:00+0000
665.97,668.0,641.86,657.5,20579700.0,666.9246261805,640.8267074255,657.5,664.8998909381,20579662.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-02-25T00:00:00+0000
659.65,683.01,658.0,673.7,14488700.0,681.908266008,656.940724591,673.7,658.5880683532,14488705.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-02-26T00:00:00+0000
682.45,688.65,657.57,658.24,12500000.0,687.5382879534,656.5114168226,658.24,681.3513639774,12500013.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-02-27T00:00:00+0000
658.04,669.63,642.6,668.2,17517800.0,668.5520021396,641.5672134064,668.2,656.9806601973,17534168.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-02-28T00:00:00+0000
673.68,681.25,650.84,655.05,10821600.0,680.1532957866,649.7961447745,655.05,672.5904903325,10843763.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-03T00:00:00+0000
645.51,649.75,623.65,640.0,21495200.0,648.7040057796,622.6460226309,640.0,644.4708315056,21495208.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-04T00:00:00+0000
641.0,659.5,637.66,656.47,13770000.0,658.4383098294,636.6334687579,656.47,639.9680918888,13770026.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-05T00:00:00+0000
648.0,650.56,624.11,627.93,13446500.0,649.5151977837,623.1052821041,627.93,646.9568230014,13446454.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-06T00:00:00+0000
625.37,634.79,600.61,625.66,21360300.0,633.7680890017,599.6431133687,625.66,624.3632537043,21375671.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-07T00:00:00+0000
608.07,610.11,586.87,597.99,21999900.0,609.1278198787,585.9252325846,597.99,607.0911039544,21395988.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-10T00:00:00+0000
595.05,614.93,593.33,605.71,17401500.0,613.9440540055,592.3748330115,605.71,594.0970560357,17401469.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-11T00:00:00+0000
629.9,633.33,609.35,619.56,15747000.0,632.3104393696,608.3690433579,619.56,628.8859611244,15746966.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-12T00:00:00+0000
620.25,620.5,586.51,590.64,16415100.0,619.5010936302,585.5658121274,590.64,619.2465041397,16480324.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-13T00:00:00+0000
602.8,608.86,594.78,607.6,12343300.0,608.4050739705,594.335594219,607.6,602.3545981257,12364505.0,1.0,0.525,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-14T00:00:00+0000
607.46,613.1,598.0,604.9,15459700.0,612.6419059411,597.5531883099,604.9,607.0061200179,15473909.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-17T00:00:00+0000
600.05,600.25,574.66,582.36,20265400.0,599.8015071622,574.230627415,582.36,599.6016565976,20297708.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-18T00:00:00+0000
584.28,592.32,574.77,584.06,20497100.0,591.8797305553,574.3405452255,584.06,583.8434395748,20537498.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-19T00:00:00+0000
582.76,610.2,579.51,586.0,24336500.0,609.7440727537,579.0770036078,586.0,582.3195790193,24336505.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-20T00:00:00+0000
583.42,597.54,580.95,596.25,24993300.0,597.0985282753,580.5159276733,596.25,582.9890784109,25015864.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-21T00:00:00+0000
614.97,622.54,612.2,618.85,15722400.0,622.0748525927,611.7426783255,618.85,614.5105087206,15741274.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-24T00:00:00+0000
626.76,633.88,621.18,626.31,15295500.0,633.4063796085,620.7158687531,626.31,626.2916995069,15312540.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-25T00:00:00+0000
624.89,626.75,606.61,610.98,12609800.0,626.2816070533,606.1567551182,610.98,624.4230967274,12661891.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-26T00:00:00+0000
602.0,614.25,600.1,602.58,10436500.0,613.7910466879,599.6516192387,602.58,601.5501996029,10436524.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-27T00:00:00+0000
600.31,601.75,573.92,576.74,17566500.0,601.3003863971,573.4911803258,576.74,599.8614623316,17602823.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-28T00:00:00+0000
563.5,578.7,553.3,576.36,21124700.0,578.267608821,552.8865871101,576.36,563.0789659074,21124677.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-03-31T00:00:00+0000
570.84,589.91,570.0,586.0,12836600.0,589.4692329697,569.5741092586,586.0,570.4134816301,12836574.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-04-01T00:00:00+0000
574.91,592.66,573.36,583.93,13470800.0,592.2171782337,572.9315987447,583.93,574.4804406208,13470778.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-04-02T00:00:00+0000
546.22,552.56,530.3,531.62,34777500.0,552.1467403198,529.9037721751,531.62,545.8118771214,34777460.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-04-03T00:00:00+0000
506.62,518.0,494.2,504.73,38515100.0,517.612962449,493.8307452554,504.73,506.2414653203,38589814.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-04-04T00:00:00+0000
485.1,539.37,481.9,516.25,36606100.0,538.9669952821,481.5399355293,516.25,484.7375445638,36606136.0,1.0,0.0,"Meta Platforms, Inc.",NYSE ARCA,Stock,ARS,META,ARCX,2025-04-07T00:00:00+0000
