open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
408.195,410.597,406.55,409.64,20526137.0,410.597,406.5,409.64,408.0,21423051.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-02-18T00:00:00+0000
407.88,415.49,407.65,414.77,24052500.0,415.49,407.65,413.94,407.88,24114197.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-02-19T00:00:00+0000
415.29,419.31,412.54,416.13,23461700.0,419.31,412.54,416.13,415.29,23508728.0,1.0,0.83,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-02-20T00:00:00+0000
417.34,418.05,407.89,408.21,27448200.0,418.048,407.89,408.21,417.335,27524799.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-02-21T00:00:00+0000
408.51,409.37,399.32,404.0,26404000.0,409.37,399.32,404.0,408.51,26443656.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-02-24T00:00:00+0000
401.1,401.92,396.7,397.9,29318100.0,401.915,396.7,397.9,401.1,29387402.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-02-25T00:00:00+0000
398.01,403.6,394.25,399.73,19587900.0,403.6,394.245,399.73,398.01,19618954.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-02-26T00:00:00+0000
401.27,405.74,392.17,392.53,21065800.0,405.74,392.17,392.53,401.265,21127406.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-02-27T00:00:00+0000
392.66,397.63,386.57,396.99,32826500.0,397.63,386.57,396.99,392.655,32845658.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-02-28T00:00:00+0000
398.82,398.82,386.16,388.49,22923499.0,398.82,386.155,388.49,398.82,23007726.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-03T00:00:00+0000
383.35,392.58,381.0,388.61,29059684.0,392.58,381.0,388.61,383.4,29342923.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-04T00:00:00+0000
389.34,401.67,388.81,401.02,23273389.0,401.67,388.81,401.02,389.34,23433132.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-05T00:00:00+0000
394.28,402.15,392.6777,396.89,22340526.0,402.15,392.6777,396.89,394.28,23304625.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-06T00:00:00+0000
392.32,394.8,385.54,393.31,22017200.0,394.8,385.54,393.31,392.32,22034087.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-07T00:00:00+0000
385.84,386.4,377.23,380.16,32680923.0,386.4,377.22,380.16,385.84,32569768.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-10T00:00:00+0000
379.0,385.96,377.01,380.45,28107218.0,386.0,376.91,380.45,379.0,30380177.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-11T00:00:00+0000
382.95,385.22,378.95,383.27,24213900.0,385.2165,378.9507,383.27,382.95,24253567.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-12T00:00:00+0000
383.155,385.3099,377.45,378.77,20280230.0,385.32,377.45,378.77,383.155,20473017.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-13T00:00:00+0000
379.78,390.23,379.51,388.56,19929300.0,390.23,379.51,388.56,379.775,19952846.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,usd,MSFT,XNAS,2025-03-14T00:00:00+0000
386.7,392.71,385.57,388.7,22463400.0,392.705,385.57,388.7,386.7,22474272.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-17T00:00:00+0000
387.28,387.37,381.14,383.52,17266696.0,387.37,381.1,383.52,387.07,19486850.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-18T00:00:00+0000
385.53,389.68,384.0,387.82,19165300.0,389.68,384.0,387.82,385.525,19185532.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-19T00:00:00+0000
385.735,391.785,383.29,386.84,18380423.0,391.785,383.28,386.84,385.735,18470542.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-20T00:00:00+0000
383.22,391.74,382.8,391.26,39571500.0,391.74,382.8,391.26,383.215,39675928.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-21T00:00:00+0000
395.4,395.4,389.81,393.08,20132071.0,395.4,389.81,393.08,395.4,21004548.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-24T00:00:00+0000
393.915,396.36,392.64,395.16,14435115.0,396.36,392.64,395.16,393.915,15774968.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-25T00:00:00+0000
395.01,395.31,388.57,389.97,16097312.0,395.31,388.57,389.97,395.0,16132906.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-26T00:00:00+0000
390.13,392.24,387.4,390.58,13434223.0,392.24,387.395,390.58,390.13,13766761.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-27T00:00:00+0000
388.08,389.13,376.93,378.8,21613100.0,389.13,376.93,378.8,388.08,21632016.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-28T00:00:00+0000
372.54,377.07,367.24,375.39,35158100.0,377.07,367.24,375.39,372.535,35184676.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-03-31T00:00:00+0000
374.65,382.85,373.23,382.19,19661900.0,382.85,373.23,382.19,374.65,19689503.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-01T00:00:00+0000
377.965,385.08,376.62,382.14,15524858.0,385.08,376.62,382.14,377.965,16092555.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-02T00:00:00+0000
374.79,377.48,369.35,373.11,30147000.0,377.48,369.35,373.11,374.785,30197997.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-03T00:00:00+0000
364.13,374.59,359.48,359.84,49138700.0,374.59,359.48,359.84,364.125,49209854.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-04T00:00:00+0000
350.36,370.9999,344.79,357.86,49927100.0,370.9999,344.79,357.86,350.88,50424998.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-07T00:00:00+0000
368.255,373.65,350.25,354.56,34995691.0,373.65,350.25,354.56,368.255,35868918.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-08T00:00:00+0000
353.38,393.225,353.31,390.49,49070507.0,393.225,353.1,390.49,353.535,50199696.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-09T00:00:00+0000
382.37,383.9,367.82,381.35,37488366.0,383.9,367.8,381.35,382.06,38024368.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-10T00:00:00+0000
380.64,390.05,378.89,388.45,23828700.0,390.05,378.89,388.45,380.635,23839220.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-11T00:00:00+0000
393.22,394.64,384.21,387.81,18941747.0,394.65,384.21,387.81,393.22,19251172.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-14T00:00:00+0000
388.505,391.89,384.21,385.73,17074637.0,391.89,384.1599,385.73,388.505,17199890.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-15T00:00:00+0000
380.495,381.61,368.2,371.61,21585114.0,381.61,368.0,371.61,380.67,21967826.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-16T00:00:00+0000
373.745,374.3215,366.89,367.78,21120192.0,374.3215,366.89,367.78,373.745,21120192.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-17T00:00:00+0000
363.12,364.48,355.6738,359.12,19637770.0,364.48,355.67,359.12,362.815,20807279.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-21T00:00:00+0000
363.42,367.76,359.8602,366.82,17975458.0,367.77,359.8602,366.82,363.375,19484993.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-22T00:00:00+0000
376.3,380.39,373.03,374.39,20501048.0,380.39,373.02,374.39,376.06,20545526.0,1.0,0.0,Microsoft Corporation,NASDAQ,Stock,USD,MSFT,XNAS,2025-04-23T00:00:00+0000
