open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
141.27,143.44,137.925,139.4,219176609.0,143.44,137.925,139.4,141.27,219176627.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-02-18T00:00:00+0000
139.51,141.36,137.22,139.23,167536000.0,141.36,137.22,139.23,139.51,167536006.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-02-19T00:00:00+0000
140.03,140.66,136.7901,140.11,143903594.0,140.66,136.7901,140.11,140.03,143903583.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-02-20T00:00:00+0000
140.04,141.46,134.03,134.43,228217594.0,141.46,134.03,134.43,140.04,228217585.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-02-21T00:00:00+0000
136.56,138.59,130.08,130.28,251381109.0,138.59,130.08,130.28,136.56,251381137.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-02-24T00:00:00+0000
129.98,130.2,124.44,126.63,271428719.0,130.2,124.44,126.63,129.98,271428711.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-02-25T00:00:00+0000
129.985,133.73,128.49,131.28,322553781.0,133.73,128.49,131.28,129.985,322553814.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-02-26T00:00:00+0000
135.0,135.01,120.01,120.15,443175812.0,135.01,120.01,120.15,135.0,443175846.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-02-27T00:00:00+0000
118.02,125.09,116.4,124.92,389091094.0,125.09,116.4,124.92,118.02,389091145.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-02-28T00:00:00+0000
123.51,123.7,112.28,114.06,411381406.0,123.7,112.28,114.06,123.51,411381373.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-03T00:00:00+0000
110.645,119.31,110.11,115.99,398163281.0,119.31,110.11,115.99,110.645,398163305.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-04T00:00:00+0000
117.58,118.2781,114.51,117.3,284337875.0,118.2781,114.51,117.3,117.58,284337886.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-05T00:00:00+0000
113.53,115.35,110.22,110.57,321181875.0,115.35,110.22,110.57,113.53,321181861.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-06T00:00:00+0000
111.25,113.48,107.56,112.69,341755500.0,113.48,107.56,112.69,111.25,341755468.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-07T00:00:00+0000
109.9,111.85,105.46,106.98,366487406.0,111.85,105.46,106.98,109.9,361107562.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-10T00:00:00+0000
106.99,112.236,104.77,108.76,354865688.0,112.236,104.77,108.75,106.99,354865692.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-11T00:00:00+0000
114.12,116.76,112.88,115.74,323857500.0,116.76,112.88,115.74,114.12,323857454.0,1.0,0.01,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-12T00:00:00+0000
117.03,117.76,113.79,115.58,299033094.0,117.76,113.79,115.58,117.03,299033131.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-13T00:00:00+0000
118.61,121.88,118.15,121.67,277593500.0,121.88,118.15,121.67,118.61,277593455.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,usd,NVDA,XNAS,2025-03-14T00:00:00+0000
122.74,122.89,118.03,119.53,255501500.0,122.89,118.03,119.53,122.74,255501481.0,1.0,0.0,NVIDIA Corp,NASDAQ,Stock,USD,NVDA,XNAS,2025-03-17T00:00:00+0000
