open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
355.01,359.1,350.02,354.11,51631702.0,359.1,350.02,354.11,355.01,51631702.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-02-18T00:00:00+0000
354.0,367.34,353.67,360.56,67094374.0,367.34,353.67,360.56,354.0,67094374.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-02-19T00:00:00+0000
361.51,362.3,348.0,354.4,45965354.0,362.3,348.0,354.4,361.51,45965354.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-02-20T00:00:00+0000
353.44,354.98,334.42,337.8,74058648.0,354.98,334.42,337.8,353.44,74058648.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-02-21T00:00:00+0000
338.14,342.3973,324.7,330.53,76052321.0,342.3973,324.7,330.53,338.14,76052321.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-02-24T00:00:00+0000
327.025,328.89,297.2512,302.8,134228777.0,328.89,297.2512,302.8,327.025,134228777.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-02-25T00:00:00+0000
303.715,309.0,288.04,290.8,100118276.0,309.0,288.04,290.8,303.715,100118276.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-02-26T00:00:00+0000
291.16,297.23,280.88,281.95,101748197.0,297.23,280.88,281.95,291.16,101748197.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-02-27T00:00:00+0000
279.5,293.88,273.6,292.98,115696968.0,293.88,273.6,292.98,279.5,115696968.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-02-28T00:00:00+0000
300.34,303.94,277.3,284.65,115551414.0,303.94,277.3,284.65,300.34,115551414.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-03T00:00:00+0000
270.93,284.35,261.8401,272.04,126706623.0,284.35,261.8401,272.04,270.93,126706623.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-04T00:00:00+0000
272.92,279.55,267.71,279.1,94042913.0,279.55,267.71,279.1,272.92,94042913.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-05T00:00:00+0000
272.06,272.65,260.02,263.45,98451566.0,272.65,260.02,263.45,272.06,98451566.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-06T00:00:00+0000
259.32,266.2499,250.73,262.67,102369640.0,266.2499,250.73,262.67,259.32,102369640.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-07T00:00:00+0000
252.535,253.37,220.0,222.15,189076948.0,253.37,220.0,222.15,252.54,185037825.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-10T00:00:00+0000
225.305,237.0649,217.02,230.58,174896415.0,237.0649,217.02,230.58,225.305,174896415.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-11T00:00:00+0000
247.22,251.84,241.1,248.09,142215681.0,251.84,241.1,248.09,247.22,142215681.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-12T00:00:00+0000
248.125,248.29,232.6,240.68,114813525.0,248.29,232.6,240.68,248.125,114813525.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-13T00:00:00+0000
247.31,251.58,240.73,249.98,100242264.0,251.58,240.73,249.98,247.31,100242264.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,usd,TSLA,XNAS,2025-03-14T00:00:00+0000
245.055,245.4,232.8,238.01,111900565.0,245.4,232.8,238.01,245.055,111900565.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,USD,TSLA,XNAS,2025-03-17T00:00:00+0000
228.155,230.1,222.28,225.31,111477636.0,230.1,222.28,225.31,228.155,111477636.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,USD,TSLA,XNAS,2025-03-18T00:00:00+0000
231.61,241.41,229.201,235.86,111993753.0,241.41,229.201,235.86,231.61,111993753.0,1.0,0.0,Tesla Inc,NASDAQ,Stock,USD,TSLA,XNAS,2025-03-19T00:00:00+0000
