open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
103.72,103.99,102.51,103.78,18229100.0,103.99,102.51,103.78,103.72,18247314.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-02-18T00:00:00+0000
103.85,104.2,102.55,104.0,18418100.0,104.2,102.55,104.0,103.85,18507981.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-02-19T00:00:00+0000
98.78,100.12,96.68,97.21,55363100.0,100.12,96.6808,97.21,98.78,55450924.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-02-20T00:00:00+0000
96.53,96.85,94.12,94.78,34972500.0,96.85,94.115,94.78,96.53,35014806.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-02-21T00:00:00+0000
94.18,94.64,92.12,93.67,29721100.0,94.64,92.12,93.67,94.18,29755875.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-02-24T00:00:00+0000
94.35,97.91,94.24,97.69,29307900.0,97.91,94.24,97.69,94.35,29331188.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-02-25T00:00:00+0000
97.7,98.73,96.07,96.2,19045600.0,98.725,96.07,96.2,97.7,19069721.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-02-26T00:00:00+0000
95.9,98.04,95.81,96.79,16411700.0,98.0399,95.8092,96.79,95.9,16431469.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-02-27T00:00:00+0000
97.79,98.86,97.17,98.61,25439600.0,98.86,97.17,98.61,97.79,25451260.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-02-28T00:00:00+0000
97.98,99.49,96.83,97.59,18340600.0,99.49,96.825,97.59,97.98,18372193.0,1.0,0.0,Walmart Inc,NYSE,Stock,usd,WMT,XNYS,2025-03-03T00:00:00+0000
