open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
262.01,262.23,255.45,255.78,56229900.0,262.23,255.45,255.78,262.01,56290673.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-13T00:00:00+0000
275.6,275.72,260.18,261.73,71430852.0,275.72,260.18,261.73,275.59,81077229.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-12T00:00:00+0000
274.695,280.18,274.45,275.5,51915838.0,280.18,274.45,275.5,274.695,51931283.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-11T00:00:00+0000
274.885,275.36,272.94,273.68,34311675.0,275.37,272.94,273.68,274.885,34376898.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-10T00:00:00+0000
277.91,278.2,271.7,274.62,44562300.0,278.2,271.7,274.62,277.905,44623396.0,1.0,0.26,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-09T00:00:00+0000
277.16,280.905,276.925,278.12,50050812.0,280.905,276.925,278.12,277.12,50453414.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-06T00:00:00+0000
278.02,279.5,273.23,275.91,52178159.0,279.5,273.23,275.91,278.13,52977441.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-05T00:00:00+0000
272.29,278.95,272.29,276.49,90458500.0,278.95,272.285,276.49,272.285,90545710.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-04T00:00:00+0000
269.13,271.875,267.61,269.48,63714867.0,271.875,267.61,269.48,269.2,63799388.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-03T00:00:00+0000
260.02,270.49,259.205,270.01,72890096.0,270.49,259.205,270.01,260.03,73913425.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-02-02T00:00:00+0000
255.165,261.64,252.18,259.48,79605051.0,261.8999,252.18,259.48,255.165,92443408.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-01-30T00:00:00+0000
258.07,259.65,254.41,258.28,55636341.0,259.65,254.41,258.28,258.0,67253009.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-01-29T00:00:00+0000
257.56,258.855,254.51,256.44,33041915.0,258.855,254.51,256.44,257.65,41287971.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-01-28T00:00:00+0000
259.14,261.95,258.21,258.27,42113358.0,261.95,258.21,258.27,259.17,48787855.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-01-27T00:00:00+0000
251.48,256.56,249.8,255.41,55448748.0,256.56,249.8,255.41,251.48,55969234.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-01-26T00:00:00+0000
247.24,249.41,244.68,248.04,40981809.0,249.41,244.68,248.04,247.32,41688982.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2026-01-23T00:00:00+0000
